Serial Number,Part #,Cells,Cracks,Dry Mix,Blisters,Molded in Flash,Improper Sanding,Non-Fills,Chips,Pits,IMC Short Shots,IMC Blisters,Test Parts,Press/Equip Malfunction,Wavy,IMC Peel,IMC Chips,Teardown,IMC Tracks,External Trials,Holes Off,Dips,Paint Sags/Drips,Poor Repair,Too Heavy
30f269fbfe8012c00c640008,84143855,Press 3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c64004d,KR3V16615A,Press 10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c64006d,BDH64236,Press 9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8017808c640084,118439,Press 8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8013800c640084,AMV96979,Press 6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8017808c64008e,118439,Press 8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8012c00c640014,84143855,Press 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640043,BDR94728,Press 11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8012c00c640015,84143855,Press 3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c64007a,BDH64236,Press 9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8018008c640097,118440,Press 8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640065,KR3V16615A,Press 10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
